Method,MAE_um,MedianAE_um,MeanError_um,Std_um
TOS_ET_Mask,59.38426520563218,35.71872715542065,-58.99228557185671,72.81987796932987
HrSegNet32_TL_Mask,13.96411144844337,3.968792998601259,-11.612270139757936,23.728856812741405
Classic_MAT,78.21279445018428,39.960604158662306,-62.96897180779362,113.38629344592633
