image_name,gridline_id,x1_roi,y1_roi,x2_roi,y2_roi,edge1_x,edge1_y,edge2_x,edge2_y,width_px,width_um
CMd_0.23_2mths_Image1,0,478.9709777832031,1236.8548583984375,577.029052734375,1727.1451416015625,519.5670208129883,1439.8350356445312,555.4562762451171,1619.281279296875,183,726.2811742728727
CMd_0.23_2mths_Image1,1,618.0079956054688,1212.19970703125,637.9920043945312,1711.80029296875,626.2414072265625,1418.0351484375,632.7162260742188,1579.90573828125,162,642.9376364009437
CMd_0.23_2mths_Image1,2,725.5001220703125,1208.012451171875,730.4998779296875,1707.987548828125,727.6200185546875,1420.001892578125,729.159943359375,1573.99422265625,154,611.1876171463338
CMd_0.23_2mths_Image1,3,800.6648559570312,1208.4989013671875,855.3351440429688,1705.5010986328125,823.9543986816407,1420.2218374023437,843.9637241210937,1602.1246416015624,183,726.2812855678201
CMd_0.23_2mths_Image1,4,910.542724609375,1196.6102294921875,945.457275390625,1695.3897705078125,924.229228515625,1392.1318095703125,936.798466796875,1571.6924443359376,180,714.3750805700855
CMd_0.23_2mths_Image1,5,1086.34326171875,1195.9031982421875,969.65673828125,1682.0968017578125,1033.834326171875,1414.6903198242187,994.39428125,1579.0237578125,169,670.7187028504005
CMd_0.23_2mths_Image1,6,1105.590576171875,1214.00634765625,1150.409423828125,1711.99365234375,1123.4284775390624,1412.205294921875,1139.294349609375,1588.49280078125,177,702.4688690475868
CMd_0.23_2mths_Image1,7,1160.592529296875,1213.259033203125,1295.407470703125,1694.740966796875,1210.4740576171876,1391.4073486328125,1255.502248046875,1552.222314453125,167,662.7811450201433
CMd_0.23_2mths_Image1,8,1386.34326171875,1182.9031982421875,1269.65673828125,1669.0968017578125,1335.4679375,1394.883609375,1296.027892578125,1559.2170473632814,169,670.7187028504005
CMd_0.23_2mths_Image1,9,1537.9920654296875,1155.19970703125,1518.0079345703125,1654.80029296875,1529.3189526367187,1372.026361328125,1522.6042846679688,1539.892158203125,168,666.7501479588733
CMd_0.23_2mths_Image1,10,1615.515625,1159.3118896484375,1640.484375,1658.6881103515625,1625.4531875,1358.0636254882813,1634.2421875,1533.8440551757812,176,698.5000674475739
CMd_0.23_2mths_Image1,11,1818.0079345703125,1113.19970703125,1837.9920654296875,1612.80029296875,1826.8409204101563,1334.023166015625,1833.6355249023438,1503.887365234375,170,674.6876497202886
CMd_0.23_2mths_Image1,12,1957.7862548828125,1110.78076171875,1898.2137451171875,1607.21923828125,1934.3146860351562,1306.377521484375,1914.4174677734375,1472.18797265625,167,662.7813095594709
CMd_0.23_2mths_Image1,13,2055.335205078125,1122.4989013671875,2000.6649169921875,1619.5010986328125,2041.4489519042968,1248.7374594726562,2021.2209453125,1432.6282724609375,185,734.2187859565395
CMd_0.23_2mths_Image1,14,2225.500244140625,1143.012451171875,2230.499755859375,1642.987548828125,2226.620134765625,1255.006873046875,2228.31996875,1424.99840625,170,674.6876260232507
CMd_0.23_2mths_Image1,15,2340.484375,1142.3118896484375,2315.515625,1641.6881103515625,2331.295875,1326.0823388671874,2323.4556875,1482.8864721679688,157,623.0938101663018
CMd_0.23_2mths_Image1,16,2388.50244140625,1150.139892578125,2467.49755859375,1643.860107421875,2422.470341796875,1362.4395849609375,2447.5907890625,1519.44261328125,159,631.0310973974742
CMd_0.23_2mths_Image1,17,2503.1240234375,1132.24072265625,2552.8759765625,1629.75927734375,2525.0148828125,1351.14888671875,2540.43798828125,1505.379638671875,155,615.156211980994
CMd_0.23_2mths_Image1,18,2645.457275390625,1121.6102294921875,2610.542724609375,1620.3897705078125,2629.8853857421873,1344.0659047851564,2618.5730712890627,1505.6704760742186,162,642.9375725130769
CMd_0.23_2mths_Image1,19,2765.085205078125,1130.765869140625,2690.914794921875,1625.234130859375,2734.230314453125,1336.464666015625,2709.309056640625,1502.606001953125,168,666.7501488051265
CMd_0.23_2mths_Image1,20,2874.665283203125,1147.3939208984375,2781.334716796875,1638.6060791015625,2835.2797841796873,1354.6854516601563,2809.707208984375,1489.2775830078126,137,543.7187271554207
CMd_0.23_2mths_Image1,21,2988.50244140625,1203.139892578125,3067.49755859375,1696.860107421875,3014.570830078125,1366.0675634765626,3037.79539453125,1511.221306640625,147,583.406108914646
CMd_0.23_2mths_Image1,22,3074.28466796875,1189.8388671875,3181.71533203125,1678.1611328125,3105.654421875,1332.42896875,3143.470015625,1504.31840625,176,698.4999758124013
CMd_0.23_2mths_Image1,23,3210.542724609375,1162.6102294921875,3245.457275390625,1661.3897705078125,3218.22392578125,1272.341728515625,3233.6561572265623,1492.8022856445314,221,877.0938489221605
CMd_0.23_2mths_Image1,24,3235.820556640625,1172.6146240234375,3420.179443359375,1637.3853759765625,3271.217462890625,1261.8506083984375,3354.5476796875,1471.92698828125,226,896.9375914575731
CMd_0.23_2mths_Image1,25,3483.26953125,1082.154296875,3772.73046875,1489.845703125,3555.05584375,1183.261765625,3648.262265625,1314.5383984375,161,638.9686440186937
CMd_0.23_2mths_Image1,26,3645.412353515625,979.035400390625,3810.587646484375,1450.964599609375,3701.571953125,1139.491328125,3748.1513857421874,1272.5753623046876,141,559.5938020227011
CMd_0.23_2mths_Image1,27,3776.62060546875,935.3366088867188,3879.37939453125,1424.663330078125,3815.6689453125,1121.280762939453,3838.27587890625,1228.9326416015624,110,436.56250768483017
CMd_0.23_2mths_Image1,28,3796.26513671875,946.5243530273438,4059.73486328125,1371.4757080078125,3873.198296875,1070.6101486816406,3958.035548828125,1207.4444849853517,161,638.9686872719936
CMd_0.23_2mths_Image1,29,3874.733642578125,899.4918823242188,4181.26611328125,1294.508056640625,3999.185825683594,1059.8684490966798,4074.5928134765627,1157.0424279785157,123,488.15618514056064
CMd_0.23_2mths_Image1,30,4500.6650390625,460.4989013671875,4555.3349609375,957.5010986328125,4519.2528125,629.4796484375,4534.23237109375,765.6582504882813,137,543.7187330845591
